0.7041666667,B1  (0,18)
1.096875,B1  (0,18)
7.4552083333,B1  (0,18)
8.5614583333,D3  (0,7)
8.5614583333,D3  (0,8)
8.5833333333,C3  (0,5)
8.5833333333,C3  (0,6)
8.6104166667,Ab0  (0,1)
8.6104166667,Ab0  (0,2)
8.6354166667,Ab1  (0,3)
8.6354166667,Ab1  (0,4)
8.6822916667,G3  (0,9)
8.6822916667,G3  (0,10)
12.53125,F3  (0,9)
12.53125,F3  (0,10)
12.5833333333,Db2  (0,3)
12.5833333333,Db2  (0,4)
12.5958333333,B2  (0,5)
12.5958333333,B2  (0,6)
12.625,Db3  (0,7)
12.625,Db3  (0,8)
12.6302083333,Db1  (0,1)
12.6302083333,Db1  (0,2)
17.0677083333,A0  (0,12)
17.115625,E2  (0,3)
17.115625,E2  (0,4)
17.1375,A2  (0,5)
17.1375,A2  (0,6)
17.1635416667,Gb3  (0,13)
17.1770833333,B2  (0,13)
17.18125,E0  (0,19)
17.1927083333,E1  (0,1)
17.1927083333,E1  (0,2)
17.19375,A1  (0,11)
17.2364583333,Db3  (0,9)
17.2364583333,Db3  (0,10)
17.51875,D3  (0,13)
18.3489583333,B0  (0,12)
18.371875,A2  (0,13)
18.3854166667,E3  (0,13)
18.3927083333,C3  (0,13)
18.525,B1  (0,11)
21.2864583333,E3  (0,5)
21.2864583333,E3  (0,6)
21.3010416667,Ab3  (0,7)
21.3010416667,Ab3  (0,8)
21.3041666667,D2  (0,3)
21.3041666667,D2  (0,4)
21.3864583333,C3  (0,9)
21.3864583333,C3  (0,10)
21.596875,D1  (0,1)
21.596875,D1  (0,2)
23.2645833333,A0  (0,12)
23.475,C1  (0,19)
23.596875,Gb3  (0,13)
23.6145833333,B2  (0,13)
23.6197916667,A1  (0,11)
24.0239583333,D3  (0,13)
24.2916666667,B0  (0,12)
24.4333333333,B1  (0,11)
25.0760416667,A2  (0,13)
25.0760416667,C3  (0,13)
25.0822916667,E3  (0,13)
29.2135416667,A0  (0,12)
29.646875,A1  (0,11)
30.2489583333,B0  (0,12)
30.4583333333,B1  (0,11)
30.9104166667,A0  (0,12)
31.2604166667,A1  (0,11)
31.7979166667,Gb0  (0,12)
32.05,Gb1  (0,11)
34.3854166667,A0  (0,12)
34.5270833333,B1  (0,11)
35.1895833333,D0  (0,12)
35.290625,D1  (0,11)
36.6208333333,E0  (0,12)
36.7,E1  (0,11)
42.0770833333,D0  (0,12)
42.103125,D1  (0,11)
42.1583333333,E2  (0,13)
42.1708333333,B2  (0,13)
42.7270833333,G2  (0,13)
42.8229166667,E0  (0,12)
42.9364583333,E1  (0,11)
43.1760416667,C1  (0,19)
43.765625,D2  (0,13)
43.7739583333,A2  (0,13)
43.7958333333,F2  (0,13)
47.984375,E2  (0,13)
47.984375,B2  (0,13)
48.1708333333,D0  (0,12)
48.3697916667,D1  (0,11)
48.5447916667,G2  (0,13)
49,E1  (0,11)
49.025,E0  (0,12)
49.48125,A2  (0,13)
49.4822916667,D2  (0,13)
49.490625,F2  (0,13)
53.9729166667,D1  (0,11)
54.0020833333,D0  (0,12)
54.5833333333,G0  (0,12)
54.871875,G1  (0,11)
55.10625,C1  (0,19)
56.7802083333,A0  (0,12)
57.3052083333,A1  (0,11)
57.76875,F0  (0,12)
58.31875,F1  (0,11)
61.0447916667,Db3  (0,13)
61.1479166667,F3  (0,13)
61.15,G2  (0,13)
61.1614583333,Db2  (0,13)
61.31875,E1  (0,11)
61.5166666667,E0  (0,12)
62.353125,Gb1  (0,11)
62.43125,Gb0  (0,12)
68.28125,Gb3  (0,21)
68.2885416667,B0  (0,14)
68.353125,Db3  (0,20)
68.3666666667,Ab3  (0,15)
68.3677083333,Gb2  (0,15)
